TECNOLOGIA	Título
Hidroxicloroquina	A comparison analysis on Remdesivir, Favipiravir, Hydroxychloroquine, Chloroquine and Azithromycin in the treatment of corona virus disease 2019 (Covid-19) - A Review
Hidroxicloroquina	A comparison analysis on Remdesivir, Favipiravir, Hydroxychloroquine, Chloroquine and Azithromycin in the treatment of corona virus disease 2019 (Covid-19) - A Review
Hidroxicloroquina	A comparison analysis on Remdesivir, Favipiravir, Hydroxychloroquine, Chloroquine and Azithromycin in the treatment of corona virus disease 2019 (Covid-19) - A Review
Remdesivir	A comparison analysis on Remdesivir, Favipiravir, Hydroxychloroquine, Chloroquine and Azithromycin in the treatment of corona virus disease 2019 (Covid-19) - A Review
Remdesivir	A comparison analysis on Remdesivir, Favipiravir, Hydroxychloroquine, Chloroquine and Azithromycin in the treatment of corona virus disease 2019 (Covid-19) - A Review
Remdesivir	A comparison analysis on Remdesivir, Favipiravir, Hydroxychloroquine, Chloroquine and Azithromycin in the treatment of corona virus disease 2019 (Covid-19) - A Review
Remdesivir	The FDA has authorised remdesivir for use in COVID-19 patients: but there’s no good evidence it reduces mortality
Hidroxicloroquina	Adverse Cardiac Events Related to Hydroxychloroquine Prophylaxis and Treatment of COVID-19
Lopinavir	Maculopapular rash in COVID-19 patient treated with lopinavir/ritonavir
Ritonavir	Maculopapular rash in COVID-19 patient treated with lopinavir/ritonavir
Natalizumabe	COVID-19 occurring during Natalizumab treatment: a case report in a patient with extended interval dosing approach
Cloroquina	Hydroxychloroquine for treatment of SARS-CoV-2 infection? Improving our confidence in a model-based approach to dose selection.
Hidroxicloroquina	Hydroxychloroquine for treatment of SARS-CoV-2 infection? Improving our confidence in a model-based approach to dose selection.
Azitromicina	Association of Treatment With Hydroxychloroquine or Azithromycin With In-Hospital Mortality in Patients With COVID-19 in New York State
Hidroxicloroquina	Association of Treatment With Hydroxychloroquine or Azithromycin With In-Hospital Mortality in Patients With COVID-19 in New York State
Tocilizumabe	Tocilizumab therapy reduced intensive care unit admissions and/or mortality in COVID-19 patients
Antagonistas do Receptor da Angiotensina II	Angiotensin-Converting Enzyme 2 and Antihypertensives (Angiotensin Receptor Blockers and Angiotensin-Converting Enzyme Inhibitors) in Coronavirus Disease 2019
Antagonistas do Receptor da Angiotensina II	Angiotensin-Converting Enzyme 2 and Antihypertensives (Angiotensin Receptor Blockers and Angiotensin-Converting Enzyme Inhibitors) in Coronavirus Disease 2019
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Angiotensin-Converting Enzyme 2 and Antihypertensives (Angiotensin Receptor Blockers and Angiotensin-Converting Enzyme Inhibitors) in Coronavirus Disease 2019
Inibidores da Enzima Conversora da Angiotensina 2 (IECA 2)	Angiotensin-Converting Enzyme 2 and Antihypertensives (Angiotensin Receptor Blockers and Angiotensin-Converting Enzyme Inhibitors) in Coronavirus Disease 2019
Ozonioterapia	Potential Cytoprotective Activity of Ozone Therapy in SARS-CoV-2/COVID-19
Hidroxicloroquina	COVID-19 Informal consultation on the dose of chloroquine and hydroxychloroquine for the SOLIDARITY Clinical Trial
Cloroquina	COVID-19: treating and managing severe cases
Corticosteroides	COVID-19: treating and managing severe cases
Hidroxicloroquina	COVID-19: treating and managing severe cases
Lopinavir	COVID-19: treating and managing severe cases
Remdesivir	COVID-19: treating and managing severe cases
Ritonavir	COVID-19: treating and managing severe cases
Tocilizumabe	“Toxic erythema” and eosinophilia associated to tocilizumab therapy in a COVID-19 patient
Corticosteroides	Steroid-responsive encephalitis in Covid-19 disease
Hidroxicloroquina	Early Experience of COVID-19 in Two Heart Transplant Recipients: Case Reports and Review of Treatment Options
Imunoglobulina	Early Experience of COVID-19 in Two Heart Transplant Recipients: Case Reports and Review of Treatment Options
Lopinavir	Early Experience of COVID-19 in Two Heart Transplant Recipients: Case Reports and Review of Treatment Options
Prednisona	Early Experience of COVID-19 in Two Heart Transplant Recipients: Case Reports and Review of Treatment Options
Ritonavir	Early Experience of COVID-19 in Two Heart Transplant Recipients: Case Reports and Review of Treatment Options
Tocilizumabe	Early Experience of COVID-19 in Two Heart Transplant Recipients: Case Reports and Review of Treatment Options
Ácido ascórbico	Novel coronavirus 2019 (COVID-19): A case report and review of treatments. Medicine (Baltimore)
Azitromicina	Novel coronavirus 2019 (COVID-19): A case report and review of treatments. Medicine (Baltimore)
Hidroxicloroquina	Novel coronavirus 2019 (COVID-19): A case report and review of treatments. Medicine (Baltimore)
Remdesivir	Novel coronavirus 2019 (COVID-19): A case report and review of treatments. Medicine (Baltimore)
Tocilizumabe	Novel coronavirus 2019 (COVID-19): A case report and review of treatments. Medicine (Baltimore)
Hidroxicloroquina	Case Report: Right Bundle Brunch Block and QTc Prolongation in a Patient with Novel Coronavirus Disease (COVID-19) Treated with Hydroxychloroquine
Anticorpo IgG	A comparison study of SARS-CoV-2 IgG antibody between male and female COVID-19 patients: a possible reason underlying different outcome between gender
Colchicina	Continuous hydroxychloroquine or colchicine therapy does not prevent infection with SARS-CoV-2: Insights from a large healthcare database analysis
Colchicina	Continuous hydroxychloroquine or colchicine therapy does not prevent infection with SARS-CoV-2: Insights from a large healthcare database analysis
Hidroxicloroquina	Continuous hydroxychloroquine or colchicine therapy does not prevent infection with SARS-CoV-2: Insights from a large healthcare database analysis
Hidroxicloroquina	Continuous hydroxychloroquine or colchicine therapy does not prevent infection with SARS-CoV-2: Insights from a large healthcare database analysis
Tocilizumabe	Tocilizumab for the treatment of severe COVID-19 pneumonia with hyperinflammatory syndrome and acute respiratory failure: A single center study of 100 patients in Brescia, Italy
Anakinra	Interleukin-1 blockade with high-dose anakinra in patients with COVID-19, acute respiratory distress syndrome, and hyperinflammation: a retrospective cohort study
Hidroxicloroquina	Interleukin-1 blockade with high-dose anakinra in patients with COVID-19, acute respiratory distress syndrome, and hyperinflammation: a retrospective cohort study
Lopinavir	Interleukin-1 blockade with high-dose anakinra in patients with COVID-19, acute respiratory distress syndrome, and hyperinflammation: a retrospective cohort study
Ritonavir	Interleukin-1 blockade with high-dose anakinra in patients with COVID-19, acute respiratory distress syndrome, and hyperinflammation: a retrospective cohort study
Interferon beta	Triple combination of interferon beta-1b , lopinavir – ritonavir, and ribavirin in the treatment of patients admitted to hospital with COVID-19 : an open-label, randomised, phase 2 trial
Lopinavir	Triple combination of interferon beta-1b , lopinavir – ritonavir, and ribavirin in the treatment of patients admitted to hospital with COVID-19 : an open-label, randomised, phase 2 trial
Ribavirina	Triple combination of interferon beta-1b , lopinavir – ritonavir, and ribavirin in the treatment of patients admitted to hospital with COVID-19 : an open-label, randomised, phase 2 trial
Ritonavir	Triple combination of interferon beta-1b , lopinavir – ritonavir, and ribavirin in the treatment of patients admitted to hospital with COVID-19 : an open-label, randomised, phase 2 trial
Cloroquina	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Cloroquina	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Cloroquina	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Cloroquina	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Favipiravir	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Favipiravir	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Favipiravir	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Favipiravir	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Hidroxicloroquina	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Hidroxicloroquina	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Hidroxicloroquina	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Hidroxicloroquina	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Lopinavir	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Lopinavir	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Lopinavir	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Lopinavir	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Plasma convalescente	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Plasma convalescente	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Plasma convalescente	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Plasma convalescente	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Remdesivir	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Remdesivir	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Remdesivir	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Remdesivir	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Ritonavir	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Ritonavir	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Ritonavir	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Ritonavir	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
Tocilizumabe	The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19
